GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MBNXRC03IMPL,com.bbva.mbnx.lib.rc03.impl,MBNXRC03Abstract,0,19,0,0,0,8,0,5,0,5
MBNXRC03IMPL,com.bbva.mbnx.lib.rc03.impl,MBNXRC03Impl,0,71,0,2,0,16,0,4,0,3
